Custom Bullet
Muzzle Velocity [FPS],2600,Bullet Weight [GR],175.0,Bullet Diameter [IN],0.308,Ballistic Coefficient [G1],0.475
Temperature [F],59,Windspeed [MPH],0,Windspeed 2 [MPH],0,Pressure [INHG],29.92
INCLINATION,0°,HEADING,0°,Wind Direction,12:00
Range [Y],Elevation [MRAD],Windage [MRAD],Windage 2 [MRAD],Velocity [FPS],Energy [J]
100,0.00 D,0.00 L,0.00 L,2414,3071
200,0.55 U,0.00 L,0.00 L,2236,2635
300,1.38 U,0.00 L,0.00 L,2066,2250
400,2.36 U,0.00 L,0.00 L,1904,1910
500,3.49 U,0.00 L,0.00 L,1750,1614
600,4.76 U,0.00 L,0.00 L,1606,1359
700,6.21 U,0.00 L,0.00 L,1472,1142
800,7.85 U,0.00 L,0.00 L,1352,963
